t	Mo99	Tc99
0	1000000	0
1	989528	9263
2	979002	0
3	968920	8874
4	958685	0
5	948647	8878
6	938680	0
7	928861	8696
8	919065	0
9	909443	8505
10	899918	0
11	890519	8281
12	881034	0
13	871832	8154
14	862902	0
15	853746	8061
16	844813	0
17	836114	7674
18	827476	0
19	818848	7597
20	810132	0
21	801790	7428
22	793356	0
23	784943	7426
24	776665	0
25	768538	7240
26	760419	0
27	752350	7094
28	744471	0
29	736603	6997
30	728916	0
31	721218	6801
32	713745	0
33	706194	6671
34	698853	0
35	691654	6387
36	684445	0
37	677275	6330
38	670323	0
39	663383	6098
40	656421	0
41	649528	6116
42	642566	0
43	635694	6053
44	629006	0
45	622332	5901
46	615858	0
47	609219	5900
48	602773	0
49	596476	5570
50	590176	0
51	584123	5345
52	577995	0
53	571966	5332
54	565972	0
55	559922	5373
56	554084	9939
57	548104	0
58	542300	5174
59	536537	9653
60	530832	0
61	525210	4963
62	519755	9239
63	514348	0
64	508917	4817
65	503541	9009
66	498292	0
67	493062	4613
68	487787	8714
69	482687	0
70	477602	4456
71	472587	8336
72	467646	0
73	462812	4298
74	457957	8068
75	453149	0
76	448375	4253
77	443609	7955
78	439040	0
79	434447	4032
80	429877	7609
81	425393	0
82	420780	4060
83	416279	7587
84	412082	0
85	407634	3947
86	403341	7305
87	399165	0
88	395040	3651
89	390905	6916
90	386841	9707
91	382752	0
92	378655	3655
93	374694	6762
94	370788	9450
95	366990	0
96	363240	3306
97	359390	6337
98	355640	8877
99	351866	0
100	348217	3228
Initial Mo99 population: 1000000
Simulation length: 100 hours
Total Tc99 harvested: 527706
